id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14551,Cozy & Colorful by Nature (Private Room),57237,Mun,,Girona,41.99517,2.83667,Private room,50,2,73,2024-12-26,0.42,1,318,9,HUTG-049542
45400,Begur - Loft - Costa Brava - SPAIN,201228,Oscar,,Begur,41.95586,3.21224,Entire home/apt,89,1,428,2024-12-01,2.51,1,334,24,
48764,18th C Stone House near Costa Brava,220145,Dick And Ann,,Torroella de Fluvià,42.17604,3.03782,Entire home/apt,160,14,40,2023-08-29,0.24,1,72,0,HUTG-000207
78282,Bonita casa rodeada de verde campo,420443,Jordi,,Torroella de Fluvià,42.17358,3.04519,Entire home/apt,,6,0,,,1,0,0,HUTG-021245
93343,Alquiler de casa en La Costa Brava cerca de playa,477826,Francisco,,L'Escala,42.10405,3.14936,Entire home/apt,173,2,1,2024-08-08,0.20,1,88,1,HUTG-001447
101580,"Villa ZEN costa brava ,700m port,beach & restauran",532063,Xavier,,Lloret de Mar,41.70754,2.88858,Entire home/apt,1138,2,26,2024-08-06,0.28,1,312,1,HUTG-015230
106704,Casa rural cerca de la playa,553059,Laura,,Llagostera,41.83841,2.93856,Entire home/apt,357,1,31,2024-09-08,0.19,4,335,4,PG-002599
121666,Costa brava sun and beach,611063,Alicia,,Torroella de Montgrí,42.01023,3.19079,Entire home/apt,88,5,76,2024-09-30,0.55,1,300,14,HUTG-012492-54
121962,Amplia masia cerca del mar,553059,Laura,,Llagostera,41.84007,2.94776,Entire home/apt,629,1,34,2024-12-15,0.24,4,345,4,PG-000599
122273,Hermosa casa cerca de la playa,553059,Laura,,Llagostera,41.84115,2.95071,Entire home/apt,120,1,53,2024-10-22,0.34,4,356,9,
131374,"Charming house in Costa Brava, near Girona",646551,Jesús,,Riudarenes,41.82211,2.71769,Entire home/apt,321,2,12,2023-05-31,0.10,1,333,0,PG000877
168832,Villa with pool - Emporda / Girona - HUTG-026514,804674,Jordi,,Saus,42.12541,2.93686,Entire home/apt,50,7,20,2024-08-24,0.14,1,17,3,HUTG-020858
207996,"Estudio Anna en casa ecológica, Costa Brava. Rupià",1023612,Mercè,,Rupià,42.01746368408203,3.0101780891418457,Entire home/apt,150,5,14,2023-08-29,0.11,2,172,0,HUTG-011718
212386,Charming barn in Mas Simon,1090843,Roger,,Esponellà,42.16912,2.78186,Entire home/apt,157,2,78,2024-11-10,0.51,1,306,3,PG-000904
262941,Penthouse in front of the sea-210M2,1379849,Inmaculada,,Palafrugell,41.92025,3.21381,Entire home/apt,600,7,41,2023-07-22,0.29,1,268,0,HUTG-049963
265647,Canigó (Can Llobet)  PG-455,1393119,Can Llobet Rural,,Capmany,42.37355,2.92054,Entire home/apt,231,7,70,2024-10-06,0.51,8,312,13,PG-000455
273037,cal ros,1428767,Joelle,,Palafrugell,41.91011,3.15566,Entire home/apt,85,2,101,2024-09-15,0.67,1,365,11,HUTG-009615
280968,Spend quiet vacation near the sea,1455476,Joseph,,Palamós,41.86124,3.14769,Entire home/apt,91,2,116,2024-12-29,0.77,1,98,15,
