id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
69998,COZY HIDEAWAY  LOFT... MI AMOR...,353156,Lor,,Palma de Mallorca,39.56987,2.65464,Entire home/apt,76,32,265,2024-10-26,1.69,2,304,3,
106833,Villa with a big pool in Mallorca,551974,Xisco,,Sant Llorenç des Cardassar,39.61458,3.301,Entire home/apt,200,5,27,2024-09-11,0.18,1,44,8,ET/1961
159218,Farmhouse in Nature -ET-3025,763897,Gabriel,,Selva,39.73839,2.89745,Entire home/apt,90,4,384,2024-10-27,2.38,1,251,31,ET-3025 Conselleria de Turismo de Baleares
164185,Corazón de Palma-Habitación con baño privado.,788123,Maria,,Palma de Mallorca,39.57271,2.64448,Private room,50,5,151,2024-10-26,0.93,1,325,12,City registration pending.
166820,Guest House with Great sea views - Principal Room,794829,Toni,,Banyalbufar,39.67894,2.50052,Private room,70,1,319,2024-10-08,1.96,4,75,33,
168668,Beautiful farmhouse with pool,804061,Miquel,,Manacor,39.66654,3.21845,Entire home/apt,150,7,66,2024-10-24,0.41,1,0,6,VT/1929
193426,Apartment Gavina 1B - 3 rooms/wifi/beach near,95323653,Eva Balaguer,,Pollença,39.89838,3.07582,Entire home/apt,,5,105,2024-09-15,0.68,4,0,6,ETVPL/14090
210156,Room Berna ETV/7989,1036132,Toni,,Alcúdia,39.83462,3.11031,Private room,70,7,126,2024-08-20,0.84,3,214,3,ETV/7989
233901,"Chalet es pinaret gran, con piscina",1224723,Guillermo,,Santanyí,39.30207,3.07507,Entire home/apt,200,4,94,2024-10-14,0.62,1,279,9,Vt/2086
238799,Penthouse in Palma close to Portitxol,1251803,Natalia,,Palma de Mallorca,39.56466,2.66164,Entire home/apt,213,2,115,2024-09-22,0.73,1,361,5,
255161,RURAL HOUSE BALITX D'AVALL,1340774,Elvira,,Fornalutx,39.81475,2.74256,Entire home/apt,650,3,1,2018-11-19,0.01,1,362,0,
257206,Your Hike and resting room in Mallorca-Family Room,794829,Toni,,Banyalbufar,39.68696,2.51196,Private room,69,1,327,2024-11-04,2.12,4,75,54,
268350,Finca rústica  Sa Rota de Can Mirai - Caimari,1399635,Guillermo,,Selva,39.7744,2.89687,Entire home/apt,95,6,256,2024-12-14,1.64,1,179,26,ET/4664
323164,Ubicación conveniente en la ciudad de Palma,33523826,Farhang,,Palma de Mallorca,39.57377,2.645,Private room,40,5,104,2024-11-16,0.68,1,337,19,City registration pending.
324256,Villa Rustica Moderna en Es Trenc,1659633,Gabo,,Campos,39.40072,3.02327,Entire home/apt,450,5,16,2024-09-27,0.12,1,22,9,VT/1643
327107,Romantic flat/Castillo + private Pool 4 excl. use,983151,Sabine Petra,,Llucmajor,39.38086,2.93639,Entire home/apt,120,30,9,2022-08-17,0.07,1,105,0,
328541,Sunny container house with pool | ETV/8687,704889,Balbina,,Palma de Mallorca,39.580989837646484,2.664944887161255,Entire home/apt,142,3,331,2024-10-16,2.13,1,335,19,ETV/8687
335672,"Casa rústica, excelentes vistas al mar en Alcúdia",1202274,Marilén,,Alcúdia,39.84058,3.15525,Entire home/apt,200,5,203,2024-10-15,1.32,1,360,8,ETV 437 SA ROTE
337083,APARTMENT WITH BEATIFUL WIEWS,1714270,Javi,,Palma de Mallorca,39.53628,2.71845,Entire home/apt,123,30,99,2024-08-31,0.64,1,179,3,
341274,Canavall  Boutique Penthouse Suite #11,1731210,Canavall,,Palma de Mallorca,39.57244,2.64966,Hotel room,,4,80,2024-11-28,0.53,11,15,1,L12S8407/2016
343193,Outskirts Vacation Villa Sa Taulada,1741287,Simon,,Santa Margalida,39.71234,3.14772,Entire home/apt,110,5,33,2020-08-31,0.24,1,0,0,
351320,Apartment 250 mts to the beach,1779584,Nicolas,,Alcúdia,39.83797,3.11814,Entire home/apt,,5,125,2024-10-28,0.83,1,0,21,
374120,Villa/Bungalow for your vacations - Tennis,1882333,Marc,,Esporles,39.65371,2.62482,Entire home/apt,75,4,176,2024-11-20,1.27,3,62,38,14387/2016
396659,LLENAIRE MAR: Beachfront apartment with pool,1982030,Aina M.,,Pollença,39.88862,3.07797,Entire home/apt,100,5,84,2024-10-24,0.54,1,195,8,14754
416622,Canavall Boutique Accommodation Suite Apartment#9,1731210,Canavall,,Palma de Mallorca,39.57244,2.64966,Hotel room,124,4,123,2024-07-02,0.82,11,20,2,L12S8407/2016
417879,Haus am Meer,2077579,Miquel,,Santa Margalida,39.75961,3.16698,Entire home/apt,129,7,69,2024-06-22,0.46,1,272,3,ET/2706
423427,Bohemian & Stylish Mallorquin Flat,2105638,Kristin,,Palma de Mallorca,39.57222,2.63849,Entire home/apt,52,30,116,2024-08-03,0.76,4,290,3,
429794,Villa Privada Cala d'Or 10 min andando de Playa!,1857132,Julie,,Santanyí,39.37787,3.2334,Entire home/apt,700,5,22,2024-07-20,0.18,1,238,8,ET/3018
430192,"In Front of the Sea, Portocolom.",2138439,Juan Antonio Y Elena,,Felanitx,39.4263,3.26493,Entire home/apt,99,6,180,2024-10-18,1.18,1,217,16,ETV/3766
440338,Mini Son Aloui Mallorca,2098487,Sandrine,,Llubí,39.70417,3.05733,Entire home/apt,70,5,100,2024-11-16,1.49,4,359,18,L12E7188
