id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32347,SevillaCenter,139939,Alejandro,Casco Antiguo,San Vicente,37.39358,-5.99975,Entire home/apt,99,2,167,2020-01-08,0.98,1,2,0,CTC-2018150852
49287,BEAUTIFUL APARTMENT IN SEVILLE,224697,Walter,Casco Antiguo,San Lorenzo,37.39898,-5.99533,Entire home/apt,72,3,39,2020-02-17,0.23,1,214,0,VFT/SE/01116
108236,Sunny apt in heart of seville!!,560040,Pepe,Casco Antiguo,San Vicente,37.39685821533203,-5.99912691116333,Entire home/apt,138,2,203,2024-12-11,1.22,4,29,16,VFT/SE/05126
111140,Quiet&historicenter&local experienc,560040,Pepe,Casco Antiguo,San Vicente,37.39592361450195,-5.999317169189453,Entire home/apt,127,2,52,2024-06-23,0.31,4,15,10,VFT/SE/08197
116703,"Walk to the Cathedral!! ATICO DUPLEX, WIFI.",589600,Miguel,Casco Antiguo,Arenal,37.38551,-5.99497,Entire home/apt,115,3,278,2024-11-11,1.69,9,32,28,
117278,"Walk to the Cathedral!! DUPLEX ARENAL, WIFI.",589600,Miguel,Casco Antiguo,Arenal,37.38549,-5.99506,Entire home/apt,115,3,184,2024-12-16,1.12,9,33,17,VFT/SE/10670
159596,apto lujo 2 D en el Arenal (Sevilla),629861,Alvaro,Casco Antiguo,Arenal,37.38671,-5.99581,Entire home/apt,106,64,1,2019-11-24,0.02,2,88,0,
179629,Bamberg Duplex Terraza Centro Historico 5 pax,860055,Maria,Casco Antiguo,Santa Cruz,37.38731,-5.99095,Entire home/apt,180,3,203,2024-10-02,1.29,24,259,12,VFT/SE/0426
185356,Macarena Romans Walls 7 pax,860055,Maria,Macarena,"León XIII, Los Naranjos",37.40307,-5.98409,Entire home/apt,130,3,116,2024-11-30,0.71,24,279,10,VFT/SE/00425
207702,"Tirso I, 7 minutes walk from the Cathedral",1022533,Maria,Casco Antiguo,Museo,37.38945,-5.99889,Entire home/apt,112,3,469,2024-12-29,3.75,1,50,56,VUT/SE/00035
253430,Apartment in historic center. WIFI,1330663,Mario,Casco Antiguo,Alfalfa,37.39107,-5.99261,Entire home/apt,70,3,320,2024-11-24,2.01,2,75,35,
266016,"nice loft it the Center, wifi",1391956,Jorge,Nervión,San Bernardo,37.38111,-5.98616,Entire home/apt,113,2,433,2024-12-15,2.76,5,4,38,VFT/SE/00561
272934,"NEAR TOWN HALL APARTMENT, WIFI+A/C",1428269,Actua Y Gestiona S.L.,Casco Antiguo,Santa Cruz,37.38874,-5.99297,Entire home/apt,190,1,289,2024-11-25,1.84,4,348,16,NUMERO DE REGISTRO EN TURISMO VFT/SE/00849
288900,Lovely and cozy 75 m2 apartment. No fees!,1501115,Alberto,Cerro - Amate,El Cerro,37.369,-5.95661,Entire home/apt,69,2,382,2024-12-08,2.56,1,2,26,VTF/SE/088
298673,Corral del Coliseo -WiFi - VFT/SE/00432,14958822,Nacho,Casco Antiguo,"Encarnación, Regina",37.39362,-5.99065,Entire home/apt,134,2,561,2024-12-22,3.61,188,105,62,VFT/SE/00432
315971,ROOM WITH A VIEW ON ROOF.,1188880,Lola,Casco Antiguo,Museo,37.39279,-6.00078,Private room,44,3,491,2024-11-30,3.14,1,330,28,VFT/SE/01964
321192,Comfortable & functional - Center - Train station,1643754,Vicente Andrés,Nervión,an Roque,37.39236,-5.98361,Entire home/apt,114,1,466,2024-12-01,3.00,1,237,15,VFT/SE/415
343997,Quiet & bright apartment in a central palace,879606,Rafael,Casco Antiguo,Alfalfa,37.39022,-5.99126,Entire home/apt,97,3,637,2024-12-22,4.12,1,127,55,VFT/SE/1549
