id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48154,Precioso apartamento con wifi,219476,Antonio,LA SAIDIA,MORVEDRE,39.48375,-0.37502,Entire home/apt,150,3,177,2024-12-01,1.02,4,180,31,VT-41540-V
137143,PENTHOUSE  ON FRONT LINE BEACH,670775,Cpi Gestión Encuentra Tu Mansión,POBLATS DEL SUD,EL SALER,39.36335,-0.31932,Entire home/apt,390,10,1,2013-07-02,0.01,5,90,0,VT32745V
149715,1900 Style Valencian Beach  Home for 10px,5947,Susana Barbara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46746,-0.32813,Entire home/apt,204,2,279,2024-12-02,1.71,1,304,37,Nº TURISMO VT36469V  CATEGORIA: standard
165971,★ Architectural touch! ★,791187,Inés,EXTRAMURS,LA ROQUETA,39.4679,-0.38206,Entire home/apt,132,5,544,2024-12-16,3.33,7,117,52,VT-32757-V
169284,Apartment near downtown,806645,Maria Jesus,L'OLIVERETA,NOU MOLES,39.46759,-0.39067,Entire home/apt,48,2,174,2024-11-18,1.24,13,42,39,
182221,Apartments Calatrava City Valencia,1315567,Chiara,CAMINS AL GRAU,AIORA,39.46343,-0.34325,Entire home/apt,217,3,8,2024-05-04,0.07,2,149,1,VT-38755-V
192674,Modern 2 br in El Carmen -  Parking Available,933504,Anthony,CIUTAT VELLA,EL CARME,39.48002,-0.38021,Entire home/apt,125,4,175,2024-12-03,1.20,6,69,26,
193326,Hab. con balcón cerca de la playa y universidades,937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.473,-0.32897,Private room,49,1,352,2024-12-08,2.20,2,173,56,
225070,Habitación cerca de la playa y universidades,937597,Noelia,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.47152,-0.33123,Private room,44,1,249,2024-12-01,1.57,2,178,38,
250981,Apartment Ciudad de Valencia,1315567,Chiara,CAMINS AL GRAU,LA CREU DEL GRAU,39.46233,-0.34263,Entire home/apt,200,3,4,2024-12-02,0.03,2,315,1,
253764,Sea view apartment with terrace at Cabanyal beach,1332880,Jaime,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.466515,-0.325345,Entire home/apt,263,3,69,2024-12-02,0.44,2,108,20,
260929,Queen size bed & private shower by Miguel Inn,140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47507,-0.36296,Private room,49,2,155,2024-11-10,1.09,3,22,41,
260935,"Double room, shared bathroom, good water",140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47505,-0.36282,Private room,33,2,473,2024-10-28,3.10,3,12,24,
265340,Design apartment in the center WIFI,1391644,Nina,L'EIXAMPLE,RUSSAFA,39.46232,-0.37508,Entire home/apt,90,14,94,2023-02-03,0.60,1,298,0,
273373,"Malvabeach family house, WiFi, pool, front beach",1387923,Pilar,POBLATS MARITIMS,LA MALVA-ROSA,39.48183,-0.32578,Entire home/apt,490,3,140,2024-12-03,0.92,7,327,23,AT-33952-V
276455,"Great Room in an apartment,Valencia",1444357,Alberto,ALGIROS,LA CARRASCA,39.47317,-0.33932,Private room,38,2,0,,,1,302,0,
288057,Charming Studio in the city center,1497590,David,LA SAIDIA,MORVEDRE,39.48367,-0.37377,Entire home/apt,80,4,148,2024-12-08,1.14,3,281,22,VT-36795-V
308525,Loft Torres Quart-Valencia Center,1504505,Ignacio,EXTRAMURS,EL BOTANIC,39.47328,-0.38588,Entire home/apt,105,14,203,2024-12-17,1.40,1,78,11,VT-36615-V
313137,Apartamento centro de Valencia.,1610077,Alberto,L'EIXAMPLE,RUSSAFA,39.46359,-0.37359,Entire home/apt,,5,75,2024-12-02,0.55,1,327,7,VT-42188-V
323609,"Beach Villa,  patio and bbq. Cabanyal",1332880,Jaime,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.466515,-0.325345,Entire home/apt,200,3,41,2024-10-29,0.28,2,120,13,
346695,Apartment in the historic center  WiFi,1757298,Juan José,CIUTAT VELLA,EL CARME,39.47917,-0.377,Entire home/apt,70,2,641,2024-12-08,4.13,1,309,64,VT-36506-V
361016,Valencia Sky Haven,1145189,Maria Mercedes,EXTRAMURS,ARRANCAPINS,39.46051,-0.38512,Entire home/apt,130,2,257,2024-11-11,1.66,4,172,24,VT-37130-V
364517,City of Arts with private bath,1841798,Marta,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.4546,-0.36013,Private room,75,3,25,2024-10-26,0.18,1,83,3,
411385,"Céntrico, elegante y tranquilo. Ideal familias.",2048040,Laura,CIUTAT VELLA,EL PILAR,39.47252,-0.38299,Entire home/apt,113,2,258,2024-12-02,1.70,1,130,44,VT-37205-V
421405,"Unbeatable location, your own bath",2095681,Silvia,CIUTAT VELLA,EL MERCAT,39.47381,-0.37669,Private room,48,2,367,2024-12-04,2.39,2,131,54,
447232,LOCATION•NEW•QUIET•CHIC•METRO•IDEAL,211991268,ValenciaGUEST,CIUTAT VELLA,EL MERCAT,39.47258,-0.37805,Entire home/apt,114,1,277,2024-09-28,1.82,79,275,4,VT-37319V
455833,apartment forehead station of ave.,2265891,Maite,EXTRAMURS,ARRANCAPINS,39.46018,-0.38432,Entire home/apt,60,2,261,2020-08-18,1.74,1,0,0,
467151,Cute Apartment Studio Wifi + pool + pádel + sauna,2319737,Javier,BENICALAP,BENICALAP,39.49225,-0.40044,Entire home/apt,94,3,86,2024-10-21,0.57,1,145,12,
472858,Habitación individual bonita y luminosa. Valencia,2345188,Joana,ALGIROS,LA CARRASCA,39.47574,-0.34483,Private room,30,2,44,2024-12-02,0.39,3,293,7,
476415,Sun Arts Apartment @ Balcony & private Parking,2361433,Raúl,CAMINS AL GRAU,PENYA-ROJA,39.46066,-0.35361,Entire home/apt,159,2,35,2024-12-02,0.37,2,151,5,VT-40428-V
478752,ArtApartment Ready to Live/pool/Luxury Residential,2370939,María,CAMPANAR,SANT PAU,39.49038,-0.40433,Entire home/apt,164,4,243,2024-12-02,1.59,1,315,14,VT-39935-V
491152,Gorgeus apartment in Valencia,2345188,Joana,ALGIROS,LA CARRASCA,39.47572,-0.34406,Private room,60,2,27,2022-10-23,0.18,3,169,0,
524523,"Best Location: Mestalla, Single Bed, Free Coffee",140702,Miguel,EL PLA DEL REAL,EXPOSICIO,39.47639,-0.36467,Private room,29,2,418,2024-11-08,2.77,3,14,42,
530706,Céntrico y acogedor apartamento new WIFI,2605658,Carolina,CIUTAT VELLA,EL PILAR,39.47367,-0.38179,Entire home/apt,80,1,133,2024-12-02,0.87,2,167,21,
547590,CIUDAD DE LAS CIENCIAS CON PARKING PRIVADO & AC,2691959,Guillermo,CAMINS AL GRAU,PENYA-ROJA,39.45842,-0.34611,Entire home/apt,191,4,47,2024-12-02,0.33,1,74,5,
556620,Cozy room in the center,2736688,Begoña,LA SAIDIA,TRINITAT,39.48482805490139,-0.3685763429131575,Private room,38,3,188,2024-12-02,1.46,2,89,24,
579273,Mercat Central Apartment,2849128,Ferran,CIUTAT VELLA,EL PILAR,39.47227,-0.38272,Entire home/apt,60,2,441,2024-12-15,3.21,1,238,64,VT-46067-V
595233,Valencia desing loft lake view. Bikes free parking,2940808,Juan,CAMPANAR,SANT PAU,39.47451,-0.4087,Entire home/apt,71,2,427,2024-12-18,2.98,1,249,48,VT-44610-V
620433,Corona. Céntrico 2 Dormitorios WiFi,1240766,Jessica Mary,CIUTAT VELLA,EL CARME,39.47812,-0.38213,Entire home/apt,70,28,100,2024-11-27,0.67,1,90,9,Numero de inscripcion en registro turismo VT-37797-V
633762,Apto Loft Torres de Serranos,3155089,Francisco,CIUTAT VELLA,LA SEU,39.4787,-0.37599,Entire home/apt,91,1,247,2024-11-08,1.77,12,312,18,V-33840-V
643644,Charming flat in Ruzafa,3218281,Salvo,L'EIXAMPLE,RUSSAFA,39.46052,-0.37771,Entire home/apt,121,2,75,2024-10-06,0.53,1,7,9,VT-38102-V
657794,NewWave Russafa Haven,1145189,Maria Mercedes,QUATRE CARRERES,EN CORTS,39.45585,-0.37265,Entire home/apt,177,2,174,2024-10-17,1.17,4,193,14,
663047,Wonderful Penthouse. Parking. MONTHLY RENTALS,3095064,Veronica,CAMINS AL GRAU,PENYA-ROJA,39.46358,-0.35514,Entire home/apt,214,1,36,2024-11-30,0.34,1,222,10,
672551,Centro Ciudad 5 Habitaciones 250m2.,3410950,Raquel,CIUTAT VELLA,EL PILAR,39.47409,-0.38381,Entire home/apt,357,2,325,2024-12-02,2.22,1,303,39,VT-37977-V
681002,Ciudad de las Ciencias! Habitacion,3467642,Iriana,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45875,-0.35764,Private room,35,2,411,2024-12-05,2.88,1,55,41,
681925,"Very Central, Stunning Views, Sunny Terrace, Wifi!",3462415,Manuel,CIUTAT VELLA,EL MERCAT,39.47321,-0.38044,Entire home/apt,129,2,896,2024-12-09,6.02,1,240,72,VT-38165-V
682219,FALLA Apartment wifi & terrace next,219476,Antonio,LA SAIDIA,SANT ANTONI,39.486785888671875,-0.37511900067329407,Entire home/apt,48,5,68,2024-08-07,0.48,4,192,2,VT-31465-V
688130,Beautiful 4 bedroom appartment WIFI,3512981,Mari Carmen,EL PLA DEL REAL,MESTALLA,39.47291,-0.35376,Entire home/apt,261,11,81,2024-12-02,0.55,1,327,3,
698779,"Bed&breakfast in Valencia.""RUSSAFA""",2747343,Rosa,L'EIXAMPLE,RUSSAFA,39.46163,-0.3718,Private room,61,1,91,2024-12-02,0.64,1,88,15,
714886,Golf course and beach flat+wifi,3701192,Adriana,POBLATS DEL SUD,EL PERELLONET,39.30483,-0.29189,Entire home/apt,125,2,131,2024-10-06,0.91,2,328,2,VT-33997-V
716081,Ático muy luminoso en Ruzafa,3690047,Mompo Gimeno Asociados Sl,L'EIXAMPLE,RUSSAFA,39.46005,-0.37687,Entire home/apt,122,60,29,2024-06-10,0.26,5,228,4,
720307,Bonito apartamento en pleno centro,3717753,Paul,EXTRAMURS,EL BOTANIC,39.47573,-0.38542,Entire home/apt,57,2,320,2024-12-01,2.29,1,101,34,VT-40916-V
724380,Ático Abuhardillado del Siglo XVI con Terraza,3744401,Jose,CIUTAT VELLA,EL MERCAT,39.47436,-0.3809,Entire home/apt,130,4,158,2024-12-03,1.35,2,41,19,
760857,Cozy rooftop flat with garden terrace.,372326,Sandro And BB,CIUTAT VELLA,EL MERCAT,39.47305,-0.38039,Entire home/apt,66,20,157,2024-11-02,1.24,2,223,13,
772380,Charming loft in Plaza Redonda -1,4075514,Ana,CIUTAT VELLA,EL MERCAT,39.47391,-0.37675,Entire home/apt,85,3,338,2024-12-08,2.35,6,117,56,VT-34649-V
