Comunidades  autonomas;Gastos y Duracion media de los viajes;Tipo de dato;Periodo;Total
Total;Gasto medio por persona;Dato base;2025M01;1.408
Total;Gasto medio por persona;Dato base;2024M12;1.442
Total;Gasto medio por persona;Dato base;2024M11;1.359
Total;Gasto medio por persona;Dato base;2024M10;1.328
Total;Gasto medio por persona;Dato base;2024M09;1.314
Total;Gasto medio por persona;Dato base;2024M08;1.406
Total;Gasto medio por persona;Dato base;2024M07;1.429
Total;Gasto medio por persona;Dato base;2024M06;1.329
Total;Gasto medio por persona;Dato base;2024M05;1.263
Total;Gasto medio por persona;Dato base;2024M04;1.219
Total;Gasto medio por persona;Dato base;2024M03;1.359
Total;Gasto medio por persona;Dato base;2024M02;1.346
Total;Gasto medio por persona;Dato base;2024M01;1.371
Total;Gasto medio por persona;Dato base;2023M12;1.361
Total;Gasto medio por persona;Dato base;2023M11;1.294
Total;Gasto medio por persona;Dato base;2023M10;1.258
Total;Gasto medio por persona;Dato base;2023M09;1.273
Total;Gasto medio por persona;Dato base;2023M08;1.335
Total;Gasto medio por persona;Dato base;2023M07;1.372
Total;Gasto medio por persona;Dato base;2023M06;1.277
Total;Gasto medio por persona;Dato base;2023M05;1.177
Total;Gasto medio por persona;Dato base;2023M04;1.170
Total;Gasto medio por persona;Dato base;2023M03;1.271
Total;Gasto medio por persona;Dato base;2023M02;1.242
Total;Gasto medio por persona;Dato base;2023M01;1.262
Total;Gasto medio por persona;Dato base;2022M12;1.269
Total;Gasto medio por persona;Dato base;2022M11;1.242
Total;Gasto medio por persona;Dato base;2022M10;1.158
Total;Gasto medio por persona;Dato base;2022M09;1.178
Total;Gasto medio por persona;Dato base;2022M08;1.275
Total;Gasto medio por persona;Dato base;2022M07;1.309
Total;Gasto medio por persona;Dato base;2022M06;1.204
Total;Gasto medio por persona;Dato base;2022M05;1.151
Total;Gasto medio por persona;Dato base;2022M04;1.132
Total;Gasto medio por persona;Dato base;2022M03;1.257
Total;Gasto medio por persona;Dato base;2022M02;1.187
Total;Gasto medio por persona;Dato base;2022M01;1.215
Total;Gasto medio por persona;Dato base;2021M12;1.200
Total;Gasto medio por persona;Dato base;2021M11;1.119
Total;Gasto medio por persona;Dato base;2021M10;1.089
Total;Gasto medio por persona;Dato base;2021M09;1.074
Total;Gasto medio por persona;Dato base;2021M08;1.137
Total;Gasto medio por persona;Dato base;2021M07;1.189
Total;Gasto medio por persona;Dato base;2021M06;1.093
Total;Gasto medio por persona;Dato base;2021M05;1.024
Total;Gasto medio por persona;Dato base;2021M04;1.062
Total;Gasto medio por persona;Dato base;2021M03;1.107
Total;Gasto medio por persona;Dato base;2021M02;1.136
Total;Gasto medio por persona;Dato base;2021M01;1.044
Total;Gasto medio por persona;Dato base;2020M12;1.074
Total;Gasto medio por persona;Dato base;2020M11;1.055
Total;Gasto medio por persona;Dato base;2020M10;847
Total;Gasto medio por persona;Dato base;2020M09;847
Total;Gasto medio por persona;Dato base;2020M08;1.007
Total;Gasto medio por persona;Dato base;2020M07;997
Total;Gasto medio por persona;Dato base;2020M06;655
Total;Gasto medio por persona;Dato base;2020M05;0
Total;Gasto medio por persona;Dato base;2020M04;0
Total;Gasto medio por persona;Dato base;2020M03;1.088
Total;Gasto medio por persona;Dato base;2020M02;1.082
Total;Gasto medio por persona;Dato base;2020M01;1.153
Total;Gasto medio por persona;Dato base;2019M12;1.164
Total;Gasto medio por persona;Dato base;2019M11;1.088
Total;Gasto medio por persona;Dato base;2019M10;1.097
Total;Gasto medio por persona;Dato base;2019M09;1.087
Total;Gasto medio por persona;Dato base;2019M08;1.157
Total;Gasto medio por persona;Dato base;2019M07;1.209
Total;Gasto medio por persona;Dato base;2019M06;1.096
Total;Gasto medio por persona;Dato base;2019M05;1.028
Total;Gasto medio por persona;Dato base;2019M04;987
Total;Gasto medio por persona;Dato base;2019M03;1.068
Total;Gasto medio por persona;Dato base;2019M02;1.063
Total;Gasto medio por persona;Dato base;2019M01;1.115
Total;Gasto medio por persona;Dato base;2018M12;1.150
Total;Gasto medio por persona;Dato base;2018M11;1.078
Total;Gasto medio por persona;Dato base;2018M10;1.067
Total;Gasto medio por persona;Dato base;2018M09;1.069
Total;Gasto medio por persona;Dato base;2018M08;1.126
Total;Gasto medio por persona;Dato base;2018M07;1.172
Total;Gasto medio por persona;Dato base;2018M06;1.095
Total;Gasto medio por persona;Dato base;2018M05;1.009
Total;Gasto medio por persona;Dato base;2018M04;977
Total;Gasto medio por persona;Dato base;2018M03;1.062
Total;Gasto medio por persona;Dato base;2018M02;1.075
Total;Gasto medio por persona;Dato base;2018M01;1.102
Total;Gasto medio por persona;Dato base;2017M12;1.138
Total;Gasto medio por persona;Dato base;2017M11;1.057
Total;Gasto medio por persona;Dato base;2017M10;1.071
Total;Gasto medio por persona;Dato base;2017M09;1.067
Total;Gasto medio por persona;Dato base;2017M08;1.091
Total;Gasto medio por persona;Dato base;2017M07;1.129
Total;Gasto medio por persona;Dato base;2017M06;1.066
Total;Gasto medio por persona;Dato base;2017M05;991
Total;Gasto medio por persona;Dato base;2017M04;958
Total;Gasto medio por persona;Dato base;2017M03;1.040
Total;Gasto medio por persona;Dato base;2017M02;1.045
Total;Gasto medio por persona;Dato base;2017M01;1.091
Total;Gasto medio por persona;Dato base;2016M12;1.134
Total;Gasto medio por persona;Dato base;2016M11;1.026
Total;Gasto medio por persona;Dato base;2016M10;1.027
Total;Gasto medio por persona;Dato base;2016M09;1.059
Total;Gasto medio por persona;Dato base;2016M08;1.025
Total;Gasto medio por persona;Dato base;2016M07;1.073
Total;Gasto medio por persona;Dato base;2016M06;1.035
Total;Gasto medio por persona;Dato base;2016M05;973
Total;Gasto medio por persona;Dato base;2016M04;925
Total;Gasto medio por persona;Dato base;2016M03;999
Total;Gasto medio por persona;Dato base;2016M02;1.007
Total;Gasto medio por persona;Dato base;2016M01;1.060
Total;Gasto medio por persona;Dato base;2015M12;1.074
Total;Gasto medio por persona;Dato base;2015M11;1.031
Total;Gasto medio por persona;Dato base;2015M10;976
Total;Gasto medio diario por persona;Dato base;2025M01;165
Total;Gasto medio diario por persona;Dato base;2024M12;159
Total;Gasto medio diario por persona;Dato base;2024M11;178
Total;Gasto medio diario por persona;Dato base;2024M10;191
Total;Gasto medio diario por persona;Dato base;2024M09;195
Total;Gasto medio diario por persona;Dato base;2024M08;189
Total;Gasto medio diario por persona;Dato base;2024M07;196
Total;Gasto medio diario por persona;Dato base;2024M06;197
Total;Gasto medio diario por persona;Dato base;2024M05;205
Total;Gasto medio diario por persona;Dato base;2024M04;185
Total;Gasto medio diario por persona;Dato base;2024M03;180
Total;Gasto medio diario por persona;Dato base;2024M02;173
Total;Gasto medio diario por persona;Dato base;2024M01;158
Total;Gasto medio diario por persona;Dato base;2023M12;149
Total;Gasto medio diario por persona;Dato base;2023M11;174
Total;Gasto medio diario por persona;Dato base;2023M10;185
Total;Gasto medio diario por persona;Dato base;2023M09;188
Total;Gasto medio diario por persona;Dato base;2023M08;173
Total;Gasto medio diario por persona;Dato base;2023M07;191
Total;Gasto medio diario por persona;Dato base;2023M06;192
Total;Gasto medio diario por persona;Dato base;2023M05;188
Total;Gasto medio diario por persona;Dato base;2023M04;174
Total;Gasto medio diario por persona;Dato base;2023M03;170
Total;Gasto medio diario por persona;Dato base;2023M02;164
Total;Gasto medio diario por persona;Dato base;2023M01;149
Total;Gasto medio diario por persona;Dato base;2022M12;146
Total;Gasto medio diario por persona;Dato base;2022M11;167
Total;Gasto medio diario por persona;Dato base;2022M10;168
Total;Gasto medio diario por persona;Dato base;2022M09;170
Total;Gasto medio diario por persona;Dato base;2022M08;163
Total;Gasto medio diario por persona;Dato base;2022M07;169
Total;Gasto medio diario por persona;Dato base;2022M06;174
Total;Gasto medio diario por persona;Dato base;2022M05;176
Total;Gasto medio diario por persona;Dato base;2022M04;155
Total;Gasto medio diario por persona;Dato base;2022M03;157
Total;Gasto medio diario por persona;Dato base;2022M02;137
Total;Gasto medio diario por persona;Dato base;2022M01;124
Total;Gasto medio diario por persona;Dato base;2021M12;126
Total;Gasto medio diario por persona;Dato base;2021M11;142
Total;Gasto medio diario por persona;Dato base;2021M10;140
Total;Gasto medio diario por persona;Dato base;2021M09;138
Total;Gasto medio diario por persona;Dato base;2021M08;135
Total;Gasto medio diario por persona;Dato base;2021M07;145
Total;Gasto medio diario por persona;Dato base;2021M06;147
Total;Gasto medio diario por persona;Dato base;2021M05;141
Total;Gasto medio diario por persona;Dato base;2021M04;131
Total;Gasto medio diario por persona;Dato base;2021M03;131
Total;Gasto medio diario por persona;Dato base;2021M02;118
Total;Gasto medio diario por persona;Dato base;2021M01;106
Total;Gasto medio diario por persona;Dato base;2020M12;110
Total;Gasto medio diario por persona;Dato base;2020M11;124
Total;Gasto medio diario por persona;Dato base;2020M10;106
Total;Gasto medio diario por persona;Dato base;2020M09;107
Total;Gasto medio diario por persona;Dato base;2020M08;117
Total;Gasto medio diario por persona;Dato base;2020M07;124
Total;Gasto medio diario por persona;Dato base;2020M06;109
Total;Gasto medio diario por persona;Dato base;2020M05;0
Total;Gasto medio diario por persona;Dato base;2020M04;0
