comunidad_autonoma,periodo,duracion_media_viaje,gasto_medio_diario,gasto_medio_persona
Andalucia,2015-10-01,10.84,97.0,1053.0
Andalucia,2015-11-01,10.48,104.0,1087.0
Andalucia,2015-12-01,16.23,76.0,1240.0
Andalucia,2016-01-01,11.91,94.0,1122.0
Andalucia,2016-02-01,10.76,92.0,987.0
Andalucia,2016-03-01,10.45,101.0,1054.0
Andalucia,2016-04-01,9.27,111.0,1025.0
Andalucia,2016-05-01,8.31,126.0,1047.0
Andalucia,2016-06-01,9.15,119.0,1087.0
Andalucia,2016-07-01,9.75,108.0,1049.0
Andalucia,2016-08-01,10.44,100.0,1043.0
Andalucia,2016-09-01,9.37,113.0,1061.0
Andalucia,2016-10-01,8.11,136.0,1104.0
Andalucia,2016-11-01,8.76,119.0,1040.0
Andalucia,2016-12-01,13.37,98.0,1311.0
Andalucia,2017-01-01,11.38,96.0,1089.0
Andalucia,2017-02-01,10.29,99.0,1016.0
Andalucia,2017-03-01,10.83,104.0,1130.0
Andalucia,2017-04-01,8.45,124.0,1050.0
Andalucia,2017-05-01,8.74,121.0,1053.0
Andalucia,2017-06-01,9.61,118.0,1137.0
Andalucia,2017-07-01,9.9,119.0,1180.0
Andalucia,2017-08-01,9.69,112.0,1085.0
Andalucia,2017-09-01,8.59,126.0,1081.0
Andalucia,2017-10-01,8.4,131.0,1102.0
Andalucia,2017-11-01,10.01,107.0,1076.0
Andalucia,2017-12-01,12.47,96.0,1197.0
Andalucia,2018-01-01,10.83,102.0,1110.0
Andalucia,2018-02-01,11.15,102.0,1139.0
Andalucia,2018-03-01,10.56,108.0,1143.0
Andalucia,2018-04-01,8.02,120.0,960.0
Andalucia,2018-05-01,8.71,118.0,1028.0
Andalucia,2018-06-01,8.8,124.0,1087.0
Andalucia,2018-07-01,9.08,132.0,1195.0
Andalucia,2018-08-01,8.89,121.0,1073.0
Andalucia,2018-09-01,7.99,132.0,1051.0
Andalucia,2018-10-01,8.03,132.0,1060.0
Andalucia,2018-11-01,8.03,132.0,1058.0
Andalucia,2018-12-01,10.71,107.0,1145.0
Andalucia,2019-01-01,9.62,108.0,1037.0
Andalucia,2019-02-01,8.6,115.0,991.0
Andalucia,2019-03-01,9.6,109.0,1049.0
Andalucia,2019-04-01,7.39,118.0,871.0
Andalucia,2019-05-01,7.93,123.0,975.0
Andalucia,2019-06-01,7.81,128.0,997.0
Andalucia,2019-07-01,8.26,135.0,1115.0
Andalucia,2019-08-01,8.66,127.0,1097.0
Andalucia,2019-09-01,7.4,133.0,988.0
Andalucia,2019-10-01,8.03,133.0,1065.0
Andalucia,2019-11-01,8.51,129.0,1096.0
Andalucia,2019-12-01,10.34,116.0,1199.0
Andalucia,2020-01-01,10.24,108.0,1109.0
