periodo,pais_residencia,gasto_medio_diario,gasto_medio_persona,duracion_media_viaje
2015-10-01,Alemania,102.0,958.0,9.39
2015-10-01,Francia,73.0,600.0,8.22
2015-10-01,Italia,104.0,725.0,6.97
2015-10-01,Paises Nordicos,137.0,1036.0,7.57
2015-10-01,Reino Unido,105.0,855.0,8.13
2015-10-01,Otros,165.0,1271.0,7.68
2015-11-01,Alemania,117.0,1004.0,8.59
2015-11-01,Francia,81.0,528.0,6.51
2015-11-01,Italia,124.0,657.0,5.31
2015-11-01,Paises Nordicos,133.0,1291.0,9.71
2015-11-01,Reino Unido,111.0,855.0,7.67
2015-11-01,Otros,162.0,1372.0,8.48
2015-12-01,Alemania,103.0,1045.0,10.18
2015-12-01,Francia,80.0,501.0,6.3
2015-12-01,Italia,86.0,715.0,8.3
2015-12-01,Paises Nordicos,130.0,1258.0,9.68
2015-12-01,Reino Unido,84.0,965.0,11.54
2015-12-01,Otros,161.0,1441.0,8.95
2016-01-01,Alemania,102.0,1000.0,9.79
2016-01-01,Francia,85.0,582.0,6.88
2016-01-01,Italia,101.0,670.0,6.65
2016-01-01,Paises Nordicos,135.0,1260.0,9.35
2016-01-01,Reino Unido,97.0,880.0,9.1
2016-01-01,Otros,153.0,1364.0,8.91
2016-02-01,Alemania,115.0,981.0,8.53
2016-02-01,Francia,97.0,543.0,5.61
2016-02-01,Italia,101.0,686.0,6.8
2016-02-01,Paises Nordicos,135.0,1187.0,8.78
2016-02-01,Reino Unido,104.0,857.0,8.21
2016-02-01,Otros,162.0,1314.0,8.09
2016-03-01,Alemania,117.0,962.0,8.21
2016-03-01,Francia,89.0,524.0,5.88
2016-03-01,Italia,106.0,742.0,7.03
2016-03-01,Paises Nordicos,131.0,1195.0,9.12
2016-03-01,Reino Unido,110.0,873.0,7.91
2016-03-01,Otros,169.0,1251.0,7.42
2016-04-01,Alemania,110.0,937.0,8.51
2016-04-01,Francia,86.0,550.0,6.37
2016-04-01,Italia,125.0,611.0,4.87
2016-04-01,Paises Nordicos,138.0,1160.0,8.43
2016-04-01,Reino Unido,111.0,810.0,7.32
2016-04-01,Otros,176.0,1204.0,6.84
2016-05-01,Alemania,127.0,928.0,7.29
2016-05-01,Francia,96.0,573.0,5.96
2016-05-01,Italia,116.0,648.0,5.6
2016-05-01,Paises Nordicos,138.0,1070.0,7.76
2016-05-01,Reino Unido,121.0,833.0,6.87
2016-05-01,Otros,185.0,1307.0,7.08
2016-06-01,Alemania,124.0,966.0,7.82
2016-06-01,Francia,93.0,642.0,6.91
2016-06-01,Italia,121.0,685.0,5.67
2016-06-01,Paises Nordicos,135.0,1022.0,7.58
2016-06-01,Reino Unido,114.0,846.0,7.44
2016-06-01,Otros,172.0,1397.0,8.14
2016-07-01,Alemania,123.0,1025.0,8.35
2016-07-01,Francia,83.0,644.0,7.78
2016-07-01,Italia,111.0,831.0,7.47
2016-07-01,Paises Nordicos,121.0,1245.0,10.28
2016-07-01,Reino Unido,124.0,1014.0,8.19
2016-07-01,Otros,164.0,1313.0,8.03
2016-08-01,Alemania,118.0,1061.0,9.0
2016-08-01,Francia,79.0,636.0,8.0
2016-08-01,Italia,120.0,936.0,7.83
2016-08-01,Paises Nordicos,137.0,1220.0,8.92
2016-08-01,Reino Unido,110.0,1011.0,9.22
2016-08-01,Otros,142.0,1281.0,9.02
2016-09-01,Alemania,120.0,990.0,8.22
2016-09-01,Francia,82.0,647.0,7.93
2016-09-01,Italia,112.0,827.0,7.39
2016-09-01,Paises Nordicos,147.0,1017.0,6.91
2016-09-01,Reino Unido,114.0,916.0,8.01
2016-09-01,Otros,175.0,1358.0,7.75
2016-10-01,Alemania,121.0,978.0,8.06
2016-10-01,Francia,85.0,601.0,7.07
2016-10-01,Italia,95.0,746.0,7.88
2016-10-01,Paises Nordicos,138.0,1092.0,7.92
2016-10-01,Reino Unido,116.0,888.0,7.66
2016-10-01,Otros,183.0,1331.0,7.27
2016-11-01,Alemania,124.0,971.0,7.81
2016-11-01,Francia,86.0,547.0,6.36
2016-11-01,Italia,101.0,663.0,6.54
2016-11-01,Paises Nordicos,144.0,1210.0,8.42
2016-11-01,Reino Unido,119.0,900.0,7.56
2016-11-01,Otros,173.0,1293.0,7.47
2016-12-01,Alemania,107.0,1112.0,10.4
2016-12-01,Francia,79.0,576.0,7.33
2016-12-01,Italia,87.0,804.0,9.26
2016-12-01,Paises Nordicos,132.0,1348.0,10.22
2016-12-01,Reino Unido,109.0,1039.0,9.55
2016-12-01,Otros,161.0,1445.0,8.98
2017-01-01,Alemania,111.0,1088.0,9.81
2017-01-01,Francia,83.0,605.0,7.31
2017-01-01,Italia,116.0,689.0,5.92
2017-01-01,Paises Nordicos,135.0,1245.0,9.21
2017-01-01,Reino Unido,102.0,960.0,9.39
2017-01-01,Otros,165.0,1338.0,8.12
2017-02-01,Alemania,106.0,1025.0,9.64
2017-02-01,Francia,93.0,569.0,6.13
2017-02-01,Italia,109.0,748.0,6.85
2017-02-01,Paises Nordicos,145.0,1208.0,8.31
2017-02-01,Reino Unido,113.0,873.0,7.76
2017-02-01,Otros,164.0,1353.0,8.23
2017-03-01,Alemania,125.0,979.0,7.81
2017-03-01,Francia,87.0,592.0,6.8
2017-03-01,Italia,109.0,662.0,6.05
2017-03-01,Paises Nordicos,132.0,1309.0,9.91
2017-03-01,Reino Unido,120.0,931.0,7.75
2017-03-01,Otros,190.0,1281.0,6.75
2017-04-01,Alemania,121.0,971.0,8.03
2017-04-01,Francia,96.0,569.0,5.94
2017-04-01,Italia,124.0,659.0,5.3
2017-04-01,Paises Nordicos,145.0,1222.0,8.43
2017-04-01,Reino Unido,114.0,820.0,7.2
2017-04-01,Otros,183.0,1205.0,6.58
2017-05-01,Alemania,137.0,929.0,6.81
2017-05-01,Francia,99.0,589.0,5.98
2017-05-01,Italia,123.0,642.0,5.23
2017-05-01,Paises Nordicos,135.0,1097.0,8.1
2017-05-01,Reino Unido,120.0,882.0,7.34
2017-05-01,Otros,188.0,1278.0,6.81
2017-06-01,Alemania,124.0,990.0,7.99
2017-06-01,Francia,90.0,623.0,6.96
2017-06-01,Italia,115.0,732.0,6.38
2017-06-01,Paises Nordicos,141.0,1061.0,7.52
2017-06-01,Reino Unido,123.0,884.0,7.2
2017-06-01,Otros,183.0,1401.0,7.66
2017-07-01,Alemania,129.0,1080.0,8.34
2017-07-01,Francia,88.0,638.0,7.26
2017-07-01,Italia,122.0,844.0,6.9
2017-07-01,Paises Nordicos,132.0,1252.0,9.5
2017-07-01,Reino Unido,133.0,1009.0,7.6
2017-07-01,Otros,166.0,1425.0,8.57
2017-08-01,Alemania,123.0,1132.0,9.24
2017-08-01,Francia,84.0,702.0,8.4
2017-08-01,Italia,125.0,959.0,7.66
2017-08-01,Paises Nordicos,143.0,1240.0,8.68
2017-08-01,Reino Unido,120.0,1039.0,8.65
2017-08-01,Otros,152.0,1334.0,8.77
2017-09-01,Alemania,130.0,1031.0,7.92
2017-09-01,Francia,82.0,650.0,7.9
2017-09-01,Italia,116.0,759.0,6.53
2017-09-01,Paises Nordicos,152.0,1072.0,7.06
2017-09-01,Reino Unido,124.0,904.0,7.28
2017-09-01,Otros,180.0,1340.0,7.46
2017-10-01,Alemania,127.0,1020.0,8.04
2017-10-01,Francia,89.0,651.0,7.28
2017-10-01,Italia,108.0,813.0,7.5
2017-10-01,Paises Nordicos,145.0,1119.0,7.73
2017-10-01,Reino Unido,119.0,908.0,7.61
2017-10-01,Otros,190.0,1349.0,7.11
2017-11-01,Alemania,122.0,1041.0,8.51
2017-11-01,Francia,82.0,550.0,6.72
2017-11-01,Italia,115.0,703.0,6.11
2017-11-01,Paises Nordicos,138.0,1287.0,9.3
2017-11-01,Reino Unido,116.0,913.0,7.87
2017-11-01,Otros,178.0,1299.0,7.31
2017-12-01,Alemania,112.0,1098.0,9.83
2017-12-01,Francia,69.0,614.0,8.83
2017-12-01,Italia,97.0,739.0,7.59
2017-12-01,Paises Nordicos,133.0,1322.0,9.92
