id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
96033,"Bonito piso a 200m de la playa, El Palo (Málaga)",510467,Rafael,,Este,36.72031,-4.35627,Entire home/apt,57,3,243,2024-12-15,1.78,1,295,36,VUT/MA/22043
166473,Perfect Location In Malaga,793360,Fred,,Este,36.72031,-4.36108,Private room,19,5,100,2024-12-23,0.62,5,317,6,
330760,Malaga Lodge Guesthouse Double room-shared bath.,1687526,Mayte,,Centro,36.729786,-4.413462,Private room,47,1,59,2024-12-11,0.38,6,325,4,VFT/MA/12240
340024,NEW APARTMENT IN MALAGA CENTER,1725690,Carlos,,Centro,36.72813,-4.41422,Entire home/apt,69,3,292,2024-12-16,2.03,1,287,44,VFT/MA/02334
358541,Casa La Maga - Apartment for happy people,1526932,Cristina,,Centro,36.72374,-4.4213,Entire home/apt,96,2,385,2024-11-24,2.49,1,142,24,VFT/MA/02288
413063,Apartment historical centre Malaga,2055304,Michael,,Centro,36.720215,-4.42297,Entire home/apt,86,4,42,2024-12-16,0.28,1,352,10,CTC-2023053184
421077,LUXURY MALAGA HISTORIC CENTER BEACH,2092252,Juliette,,Centro,36.721,-4.42454,Entire home/apt,74,3,107,2024-10-27,0.70,10,361,10,H
427860,Enjoy the coast of the Sun,2126353,Pablo,,Centro,36.73323440551758,-4.415975093841553,Private room,37,3,23,2024-05-01,0.15,3,333,2,CTC-2019124497
505688,Duplex Apartment in Malaga Center,2489890,Fede,,Centro,36.72402,-4.42013,Entire home/apt,66,4,233,2024-12-15,1.54,13,42,14,VUT/MA/00643
507961,Duplex Apartment. Malaga Center,2489890,Fede,,Centro,36.72387,-4.41937,Entire home/apt,61,4,203,2024-12-09,1.33,13,49,19,VUT/MA/00641
508787,Modern Apartment in Malaga Center,2489890,Fede,,Centro,36.7248,-4.41913,Entire home/apt,54,3,245,2024-11-28,1.61,13,13,19,VUT/MA/00576
509073,Modern Apartment. Malaga City Centre,2489890,Fede,,Centro,36.7248,-4.41913,Entire home/apt,49,4,238,2024-12-09,1.57,13,22,13,VUT/MA/00574
550804,"MALAGA CENTER, MALAGUETA BEACH",2707228,Alfonso,,Centro,36.71647,-4.41177,Entire home/apt,65,5,99,2024-10-02,0.70,3,143,11,VFT/MA/672
577612,3 bed penthouse in the Plaza de la Constitución,2840633,Carolina,,Centro,36.7208251953125,-4.422372817993164,Entire home/apt,253,1,309,2024-10-12,2.18,1,306,4,VFT/MA/0032
603361,"Spacious, central & bath en suite",2986899,Andrés,,Centro,36.72851,-4.41452,Private room,47,2,467,2024-12-07,3.09,4,14,53,VFT/MA/08683
611037,Atico diáfano en centro de Málaga,3029584,Javier - Cap,,Centro,36.72889,-4.42142,Entire home/apt,99,3,213,2024-11-12,1.54,1,261,16,VFT/MA/00239
634046,Beach Front Apartment in Málaga,2489890,Fede,,Este,36.7178,-4.34829,Entire home/apt,87,5,86,2024-10-27,0.60,13,31,8,VUT/MA/00573
655701,Golf next to the beach and ideal Telecommuting,3301281,Mariano,,Churriana,36.64943,-4.47706,Entire home/apt,129,2,89,2024-12-01,0.71,4,299,16,VFT/MA/01571
663794,En Málaga Centro con Internet incluido Teletrabajo,3301281,Mariano,,Centro,36.73097,-4.4235,Entire home/apt,71,5,40,2024-08-31,0.29,4,124,5,VFT/MA/15196
730157,Bonito atico en el centro de Málaga,3764491,Alicia,,Centro,36.72723,-4.41549,Entire home/apt,73,2,21,2019-08-18,0.20,1,242,0,CTC 2019087257
744037,Apartamento en la Malagueta - Puerto de Málaga,3899104,Alejandro,,Centro,36.71782,-4.41255,Entire home/apt,80,4,251,2024-11-21,1.82,1,37,29,VFT/MA/01057
746003,AUNT ANTONIA BEACH HOUSE 2ND FLOOR,3912651,Juan Francisco,,Este,36.71801,-4.35463,Entire home/apt,78,2,24,2024-06-27,0.17,3,212,2,VFT/MA/36124
753119,AUNT ANTONIA BEACH HOUSE 1ST FLOOR,3912651,Juan Francisco,,Este,36.71801,-4.35463,Entire home/apt,101,2,44,2024-08-03,0.31,3,188,2,VFT/MA/26818
753252,AUNT ANTONIA BEACH HOUSE STREET LEVEL,3912651,Juan Francisco,,Este,36.71801,-4.35463,Entire home/apt,79,4,23,2024-04-08,0.16,3,185,3,VFT/MA/36209
783360,Great Apartment in the heart of Malaga,3301281,Mariano,,Centro,36.72366,-4.41938,Entire home/apt,230,2,306,2024-12-16,2.10,4,326,37,VFT/MA/00436
786626,Studio for 2 people,4147118,Apartamentos San Pablo,,Centro,36.72366,-4.42749,Entire home/apt,90,4,9,2022-09-26,0.06,9,365,0,A/MA/01193
786638,Studio ( one double bed ),4147118,Apartamentos San Pablo,,Centro,36.723194,-4.428165,Entire home/apt,76,7,3,2022-02-18,0.07,9,365,0,A/MA/01193
786648,"APARTAMENT 1 bedroom, for 2 Persons",4147118,Apartamentos San Pablo,,Centro,36.72342,-4.42748,Entire home/apt,70,5,0,,,9,364,0,N.R : A/MA/01193
786651,"2 Bedroom Apartament, 4 person",4147118,Apartamentos San Pablo,,Centro,36.72244,-4.42891,Entire home/apt,84,5,1,2013-12-31,0.01,9,364,0,A/MA/01193
786656,"Attic Studio, for 2 people.",4147118,Apartamentos San Pablo,,Centro,36.72295,-4.42728,Entire home/apt,120,4,0,,,9,360,0,A/MA/01193
786663,"Attic apartment, for 6 persons.",4147118,Apartamentos San Pablo,,Centro,36.72341,-4.42795,Entire home/apt,108,5,2,2016-10-09,0.02,9,365,0,A/MA/01193
787704,Sunny private room in Malaga!,4150267,Maria Del Carmen,,Bailen-Miraflores,36.7222,-4.44543,Private room,28,2,67,2024-12-29,0.46,1,87,26,CTC-2018131453
905123,Apartamento Palomas,4841998,Emilia Y Pepe,,Carretera de Cadiz,36.70293,-4.44553,Entire home/apt,154,1,21,2024-08-23,0.17,4,58,5,VFT/MA/01024
964289,"Apartamento Corregidor, 4 dormitorios",4841998,Emilia Y Pepe,,Cruz De Humilladero,36.71532,-4.45222,Entire home/apt,170,1,12,2024-07-21,0.13,4,150,2,VFT/MA/01619
