comunidad_autonoma,tasa_media_ponderada,year
Andalucía,6.601326810763011,2024
Aragón,4.357526991413636,2024
"Asturias, Principado de",5.352233836298536,2024
"Balears, Illes",7.595283381300006,2024
Canarias,6.534795146585587,2024
Cantabria,4.694038041253762,2024
Castilla y León,3.6559368382729414,2024
Castilla - La Mancha,5.797272143136346,2024
Cataluña,5.747903169190568,2024
Comunitat Valenciana,7.112384582728364,2024
Extremadura,2.727809555935887,2024
Galicia,4.474535580726362,2024
"Madrid, Comunidad de",12.129643860186562,2024
"Murcia, Región de",5.119795694337995,2024
"Navarra, Comunidad Foral de",-0.2047158211446207,2024
País Vasco,6.272023914979154,2024
"Rioja, La",2.754473446662279,2024
Ceuta ,4.409016002446431,2024
Melilla,2.6051882974175116,2024
Andalucía,7.11657834883009,2023
Aragón,6.3423200811364815,2023
"Asturias, Principado de",3.8696989918052562,2023
"Balears, Illes",9.183845176289784,2023
Canarias,7.4918649924125065,2023
Cantabria,2.7228903657226353,2023
Castilla y León,5.4662359798016364,2023
Castilla - La Mancha,5.4964403013721075,2023
Cataluña,11.058848352111418,2023
Comunitat Valenciana,9.623110443320032,2023
Extremadura,1.9197846566903423,2023
Galicia,5.613422272113027,2023
"Madrid, Comunidad de",10.20601928050162,2023
"Murcia, Región de",5.824056606371367,2023
"Navarra, Comunidad Foral de",8.34956188340938,2023
País Vasco,8.064079777364036,2023
"Rioja, La",4.099153199062069,2023
Ceuta ,6.5651118342280546,2023
Melilla,10.498197880704346,2023
Andalucía,17.846663096362875,2022
Aragón,9.616336690537247,2022
"Asturias, Principado de",10.230856623994217,2022
"Balears, Illes",11.358622432810733,2022
Canarias,13.63432665508928,2022
Cantabria,11.727328101252182,2022
Castilla y León,8.269516236401234,2022
Castilla - La Mancha,7.67774025301216,2022
Cataluña,25.757227282383596,2022
Comunitat Valenciana,14.821610997771531,2022
Extremadura,9.00367068351317,2022
Galicia,11.18325425547367,2022
"Madrid, Comunidad de",31.96844216876816,2022
"Murcia, Región de",11.269297949590042,2022
"Navarra, Comunidad Foral de",15.72744964115856,2022
País Vasco,20.564258785646246,2022
"Rioja, La",12.096505608168895,2022
Ceuta ,3.0945939870497683,2022
Melilla,3.683241610397712,2022
Andalucía,19.130977647191795,2021
Aragón,10.877030917518123,2021
"Asturias, Principado de",10.893525182485137,2021
"Balears, Illes",13.306002373471324,2021
Canarias,12.557804865902611,2021
Cantabria,12.145917327653468,2021
Castilla y León,8.092779646825596,2021
Castilla - La Mancha,6.4253022846576116,2021
Cataluña,9.348055240131673,2021
Comunitat Valenciana,13.569326332645227,2021
Extremadura,8.389092689595687,2021
Galicia,11.896974266777908,2021
"Madrid, Comunidad de",15.45741626449927,2021
"Murcia, Región de",8.439054485440984,2021
"Navarra, Comunidad Foral de",6.823849346795457,2021
País Vasco,15.161421320618329,2021
"Rioja, La",14.363364781648079,2021
