Totales Territoriales;Comunidades y Ciudades Aut�nomas;provincia;Establecimientos y personal empleado (plazas);Periodo;Total
Total Nacional;Andalucia;Malaga;Numero de establecimientos abiertos estimados;2024M12;486
Total Nacional;Andalucia;Malaga;Numero de establecimientos abiertos estimados;2024M11;554
Total Nacional;Andalucia;Malaga;Numero de establecimientos abiertos estimados;2024M10;661
Total Nacional;Andalucia;Malaga;Numero de establecimientos abiertos estimados;2024M09;683
Total Nacional;Andalucia;Malaga;Numero de establecimientos abiertos estimados;2024M08;670
Total Nacional;Andalucia;Malaga;Numero de establecimientos abiertos estimados;2024M07;671
Total Nacional;Andalucia;Malaga;Numero de establecimientos abiertos estimados;2024M06;658
Total Nacional;Andalucia;Malaga;Numero de establecimientos abiertos estimados;2024M05;666
Total Nacional;Andalucia;Malaga;Numero de establecimientos abiertos estimados;2024M04;667
Total Nacional;Andalucia;Malaga;Numero de establecimientos abiertos estimados;2024M03;638
Total Nacional;Andalucia;Malaga;Numero de establecimientos abiertos estimados;2024M02;556
Total Nacional;Andalucia;Malaga;Numero de establecimientos abiertos estimados;2024M01;511
Total Nacional;Andalucia;Malaga;Numero de habitaciones estimadas;2024M12;29918
Total Nacional;Andalucia;Malaga;Numero de habitaciones estimadas;2024M11;35474
Total Nacional;Andalucia;Malaga;Numero de habitaciones estimadas;2024M10;45896
Total Nacional;Andalucia;Malaga;Numero de habitaciones estimadas;2024M09;47477
Total Nacional;Andalucia;Malaga;Numero de habitaciones estimadas;2024M08;46954
Total Nacional;Andalucia;Malaga;Numero de habitaciones estimadas;2024M07;46843
Total Nacional;Andalucia;Malaga;Numero de habitaciones estimadas;2024M06;46208
Total Nacional;Andalucia;Malaga;Numero de habitaciones estimadas;2024M05;45559
Total Nacional;Andalucia;Malaga;Numero de habitaciones estimadas;2024M04;44400
Total Nacional;Andalucia;Malaga;Numero de habitaciones estimadas;2024M03;42307
Total Nacional;Andalucia;Malaga;Numero de habitaciones estimadas;2024M02;33953
Total Nacional;Andalucia;Malaga;Numero de habitaciones estimadas;2024M01;28626
Total Nacional;Andalucia;Malaga;Numero de plazas estimadas;2024M12;66004
Total Nacional;Andalucia;Malaga;Numero de plazas estimadas;2024M11;78895
Total Nacional;Andalucia;Malaga;Numero de plazas estimadas;2024M10;102380
Total Nacional;Andalucia;Malaga;Numero de plazas estimadas;2024M09;106813
Total Nacional;Andalucia;Malaga;Numero de plazas estimadas;2024M08;105652
Total Nacional;Andalucia;Malaga;Numero de plazas estimadas;2024M07;105253
Total Nacional;Andalucia;Malaga;Numero de plazas estimadas;2024M06;103750
