provincia,indicador,periodo,total
Malaga,Numero de establecimientos abiertos estimados,2024-12-01,486.0
Malaga,Numero de establecimientos abiertos estimados,2024-11-01,554.0
Malaga,Numero de establecimientos abiertos estimados,2024-10-01,661.0
Malaga,Numero de establecimientos abiertos estimados,2024-09-01,683.0
Malaga,Numero de establecimientos abiertos estimados,2024-08-01,670.0
Malaga,Numero de establecimientos abiertos estimados,2024-07-01,671.0
Malaga,Numero de establecimientos abiertos estimados,2024-06-01,658.0
Malaga,Numero de establecimientos abiertos estimados,2024-05-01,666.0
Malaga,Numero de establecimientos abiertos estimados,2024-04-01,667.0
Malaga,Numero de establecimientos abiertos estimados,2024-03-01,638.0
Malaga,Numero de establecimientos abiertos estimados,2024-02-01,556.0
Malaga,Numero de establecimientos abiertos estimados,2024-01-01,511.0
Malaga,Numero de plazas estimadas,2024-12-01,66004.0
Malaga,Numero de plazas estimadas,2024-11-01,78895.0
Malaga,Numero de plazas estimadas,2024-10-01,102380.0
Malaga,Numero de plazas estimadas,2024-09-01,106813.0
Malaga,Numero de plazas estimadas,2024-08-01,105652.0
Malaga,Numero de plazas estimadas,2024-07-01,105253.0
Malaga,Numero de plazas estimadas,2024-06-01,103750.0
Malaga,Numero de plazas estimadas,2024-05-01,102068.0
Malaga,Numero de plazas estimadas,2024-04-01,99493.0
Malaga,Numero de plazas estimadas,2024-03-01,94712.0
Malaga,Numero de plazas estimadas,2024-02-01,74866.0
Malaga,Numero de plazas estimadas,2024-01-01,63142.0
Malaga,Grado de ocupacion por plazas,2024-12-01,43.18
Malaga,Grado de ocupacion por plazas,2024-11-01,49.84
Malaga,Grado de ocupacion por plazas,2024-10-01,67.55
Malaga,Grado de ocupacion por plazas,2024-09-01,71.39
Malaga,Grado de ocupacion por plazas,2024-08-01,79.53
Malaga,Grado de ocupacion por plazas,2024-07-01,73.12
Malaga,Grado de ocupacion por plazas,2024-06-01,69.55
Malaga,Grado de ocupacion por plazas,2024-05-01,69.66
Malaga,Grado de ocupacion por plazas,2024-04-01,64.67
Malaga,Grado de ocupacion por plazas,2024-03-01,57.97
Malaga,Grado de ocupacion por plazas,2024-02-01,53.5
Malaga,Grado de ocupacion por plazas,2024-01-01,45.62
Malaga,Grado de ocupacion por habitaciones,2024-12-01,52.09
Malaga,Grado de ocupacion por habitaciones,2024-11-01,64.45
Malaga,Grado de ocupacion por habitaciones,2024-10-01,81.31
Malaga,Grado de ocupacion por habitaciones,2024-09-01,84.83
Malaga,Grado de ocupacion por habitaciones,2024-08-01,85.79
Malaga,Grado de ocupacion por habitaciones,2024-07-01,81.52
Malaga,Grado de ocupacion por habitaciones,2024-06-01,81.73
Malaga,Grado de ocupacion por habitaciones,2024-05-01,81.72
Malaga,Grado de ocupacion por habitaciones,2024-04-01,77.33
Malaga,Grado de ocupacion por habitaciones,2024-03-01,71.26
Malaga,Grado de ocupacion por habitaciones,2024-02-01,66.36
Malaga,Grado de ocupacion por habitaciones,2024-01-01,57.36
Sevilla,Numero de establecimientos abiertos estimados,2024-12-01,413.0
Sevilla,Numero de establecimientos abiertos estimados,2024-11-01,411.0
Sevilla,Numero de establecimientos abiertos estimados,2024-10-01,431.0
Sevilla,Numero de establecimientos abiertos estimados,2024-09-01,429.0
Sevilla,Numero de establecimientos abiertos estimados,2024-08-01,391.0
Sevilla,Numero de establecimientos abiertos estimados,2024-07-01,406.0
Sevilla,Numero de establecimientos abiertos estimados,2024-06-01,402.0
