provincia,precio_m2,variacion_mensual,variacion_trimestral,variacion_anual,maximo_historico,variacion_maximo
Almería,8.6,1.8,0.5,8.3,8.8,-2.6
Cádiz,11.4,1.6,2.9,4.3,11.6,-1.3
Córdoba,8.6,1.1,2.8,9.1,8.7,-0.8
Granada,9.9,-0.2,0.7,8.8,10.0,-0.4
Huelva,8.9,0.8,6.4,13.4,9.0,-1.1
Jaén,7.5,1.4,3.8,9.1,7.6,-0.6
Malaga,15.1,1.0,4.0,11.4,15.1,-0.1
Sevilla,12.0,0.7,2.9,9.5,12.2,-1.7
Huesca,8.4,-0.4,-0.4,7.3,8.7,-3.4
Teruel,7.5,0.8,-0.2,6.4,7.9,-5.0
Zaragoza,10.3,0.6,1.7,8.5,10.3,-0.9
Asturias,9.4,0.6,3.1,12.1,12.5,-24.2
Oviedo,10.0,0.8,6.6,14.4,10.0,-0.2
Baleares,17.6,0.7,-2.4,9.5,19.9,-11.4
Mallorca,17.2,1.1,-0.6,11.9,17.3,-0.9
Las Palmas,14.3,0.9,1.4,8.4,14.6,-2.4
Las Palmas de Gran Canaria,12.9,0.9,-0.2,10.9,13.2,-1.7
Santa Cruz de Tenerife,11.7,0.2,-0.7,7.9,11.9,-1.5
Cantabria,10.4,-0.6,-5.9,11.6,14.8,-29.9
Santander,11.3,2.6,4.4,10.8,11.4,-1.2
Ávila,8.2,2.5,7.4,18.6,8.3,-1.0
Burgos,9.1,1.7,1.3,8.3,9.2,-1.0
León,8.1,1.3,4.0,12.0,8.1,-0.1
Palencia,7.6,0.6,4.0,10.6,7.7,-2.1
Salamanca,9.1,-0.9,-1.8,4.7,9.2,-1.8
Soria,8.5,0.4,-0.4,11.3,8.5,-0.5
Valladolid,8.6,0.1,2.2,8.0,8.8,-2.6
Zamora,6.7,-2.5,-0.6,8.5,6.9,-3.2
Albacete,8.0,-1.9,4.6,6.8,8.1,-1.9
Ciudad Real,6.8,0.3,3.1,2.9,7.2,-4.7
Cuenca,7.6,1.0,-2.2,4.0,8.1,-6.8
Guadalajara,9.8,1.5,6.5,14.4,9.9,-1.0
Toledo,9.4,2.4,4.0,13.8,9.4,0.0
Barcelona,23.4,0.7,4.4,13.9,23.6,-0.9
Girona,12.2,0.5,1.6,3.8,12.5,-2.3
Lleida,8.1,-0.8,-1.1,-2.2,8.5,-4.6
Tarragona,10.6,0.0,3.1,5.9,11.0,-3.7
Alicante/Alacant,10.9,0.9,2.1,9.9,11.0,-0.2
Alicante / Alacant,11.9,-0.8,-0.8,10.2,12.1,-1.5
Castellón/Castelló,7.9,0.5,-2.8,7.9,8.7,-8.6
Castellón de la Plana / Castello de la Plana,8.3,1.6,2.7,11.3,8.4,-0.6
Valencia/Valéncia,12.5,1.1,1.1,15.2,12.6,-0.7
Valencia,14.9,1.9,4.7,12.2,15.0,-0.3
Álava,11.6,-1.6,-0.6,6.5,11.8,-2.0
Vitoria-Gasteiz,11.9,-1.3,0.6,6.1,12.0,-1.3
Guipúzcoa,16.1,1.4,-1.7,5.8,16.5,-2.5
Donostia-San Sebastián,18.0,1.0,-0.4,7.2,18.1,-0.4
Vizcaya,14.1,1.2,3.9,9.8,14.2,-0.4
Euskadi,14.9,1.6,6.3,9.2,15.0,-0.8
Badajoz,7.5,0.9,1.2,5.3,7.6,-0.8
Cáceres,7.5,2.1,7.5,12.2,7.5,0.0
A Coruña,10.6,0.3,4.4,12.9,10.6,0.0
Lugo,7.3,3.6,3.3,9.5,7.4,-1.6
Ourense,7.5,1.6,7.1,7.5,7.5,0.0
Pontevedra,8.3,0.0,0.0,4.1,8.6,-3.0
La Rioja,8.2,0.3,0.1,6.0,8.4,-2.3
Logroño,8.5,0.1,0.2,5.7,8.6,-1.9
Madrid,20.7,0.9,1.2,15.3,21.0,-1.6
Melilla,10.0,1.2,0.8,3.8,10.4,-3.8
Murcia,8.7,1.7,-0.3,7.2,8.8,-1.3
Navarra,10.5,2.2,2.8,6.6,10.5,-0.4
Pamplona/Iruña,11.2,1.1,2.1,7.4,11.2,0.0
