provincia,precio_m2,variacion_mensual,variacion_trimestral,variacion_anual,maximo_historico,variacion_maximo
Almería,1534,0.7,2.7,11.1,2257,-32.1
Cádiz,3035,2.5,3.4,8.9,3035,0.0
Córdoba,1545,0.8,2.2,5.5,2178,-29.1
Granada,2294,0.0,1.6,13.6,2294,0.0
Huelva,1413,0.7,4.0,9.8,1678,-15.8
Jaén,1226,-0.2,2.0,6.7,1672,-26.7
Malaga,3241,0.8,4.7,21.5,3241,0.0
Sevilla,2408,1.6,2.3,8.9,2646,-9.0
Huesca,1703,-0.9,1.5,-0.4,1738,-2.0
Teruel,1469,0.6,4.9,11.7,1660,-11.5
Zaragoza,1974,2.0,4.5,9.7,2787,-29.1
Asturias,1471,1.1,2.2,7.3,1867,-21.2
Oviedo,1861,1.1,4.6,11.4,2179,-14.6
Baleares,4707,0.5,3.2,15.3,4729,-0.5
Mallorca,4442,0.7,3.1,14.6,4523,-1.8
Las Palmas,2649,1.7,4.2,16.2,2649,0.0
Las Palmas de Gran Canaria,2482,1.6,4.6,12.7,2482,0.0
Santa Cruz de Tenerife,2144,0.1,3.1,5.0,2144,0.0
Cantabria,1746,0.5,3.0,11.1,2010,-13.1
Santander,2497,-1.2,0.9,16.9,2693,-7.3
Ávila,1363,-0.1,2.7,8.5,1744,-21.8
Burgos,1864,0.9,3.2,9.1,2176,-14.3
León,1496,1.1,3.1,9.1,1898,-21.2
Palencia,1333,1.2,2.0,1.9,1724,-22.7
Salamanca,1960,0.9,2.8,11.4,2480,-21.0
Segovia,1888,3.1,1.6,7.9,2252,-16.2
Soria,1770,2.5,0.1,9.3,1913,-7.5
Valladolid,1800,1.3,5.2,10.4,2117,-14.9
Zamora,1168,0.3,-0.6,4.5,1607,-27.3
Albacete,1650,0.0,2.7,10.2,1852,-10.9
Ciudad Real,1317,2.7,3.1,8.1,1877,-29.8
Cuenca,1391,-0.1,0.1,3.6,1674,-16.9
Guadalajara,1733,2.5,5.5,9.0,2137,-18.9
Toledo,1682,-0.8,1.5,11.1,2067,-18.6
Barcelona,4700,1.1,3.1,12.8,4707,-0.1
Girona,2541,-1.9,-3.6,3.4,2639,-3.7
Lleida,1332,-0.3,2.2,14.2,1742,-23.5
Tarragona,2036,0.4,0.9,7.4,2550,-20.2
Ceuta,2350,2.2,4.5,7.4,2350,0.0
Alicante/Alacant,2364,1.2,2.9,15.0,2364,0.0
Alicante / Alacant,2265,2.4,6.1,18.2,2265,0.0
Castellón/Castelló,1326,0.4,2.3,8.6,1953,-32.1
Castellón de la Plana / Castello de la Plana,1394,0.7,3.0,9.1,1831,-23.9
Valencia/Valéncia,1602,1.8,5.9,14.6,1943,-17.6
Valencia,2836,0.9,4.8,24.0,2849,-0.5
Álava,2403,0.4,4.1,6.0,2490,-3.5
Vitoria-Gasteiz,2718,1.4,3.3,7.9,2975,-8.6
Guipúzcoa,3746,1.4,2.6,6.9,3761,-0.4
Donostia-San Sebastián,5681,0.2,2.0,5.9,5846,-2.8
Vizcaya,2934,1.1,2.6,6.4,3360,-12.7
Euskadi,3491,2.2,3.1,7.7,3591,-2.8
Badajoz,1483,0.2,0.6,6.2,1719,-13.7
Cáceres,1361,0.5,3.7,9.3,1600,-14.9
A Coruña,2680,3.0,5.1,14.7,2895,-7.4
Lugo,1364,1.5,3.5,8.4,1918,-28.9
Ourense,1495,0.2,0.4,1.2,1914,-21.9
Pontevedra,2005,-0.2,3.5,5.6,2010,-0.2
La Rioja,1349,0.7,0.8,1.6,1652,-18.3
Logroño,1800,1.5,2.0,4.3,1993,-9.7
Madrid,4952,1.2,4.1,20.2,5104,-3.0
Melilla,1994,0.4,2.6,3.1,1997,-0.2
Murcia,1370,1.8,5.4,11.1,1757,-22.0
Navarra,1795,1.2,3.9,6.4,1870,-4.0
Pamplona/Iruña,2827,2.5,4.8,6.0,2827,0.0
