comunidad_autonoma,año,precio_m2,variacion_mensual,variacion_trimestral,variacion_anual,es_alquiler
Andalucia,2006,1940.0,-0.6,-2.3,,False
"Asturias, Principado de",2006,1712.0,,,,False
"Balears, Illes",2006,2497.0,-2.5,,,False
Canarias,2006,1947.0,-7.2,,,False
Castilla y Leon,2006,1328.0,2.2,5.6,,False
Castilla - La Mancha,2006,1364.0,-3.8,5.0,,False
Cataluña,2006,2553.0,2.0,2.0,,False
Comunitat Valenciana,2006,1816.0,-1.0,-0.4,,False
Galicia,2006,1531.0,4.6,,,False
"Madrid, Comunidad de",2006,2702.0,-1.2,1.3,,False
"Murcia, Region de",2006,1652.0,-1.0,-7.5,,False
Andalucia,2014,1362.0,0.1,0.5,-3.0,False
Aragon,2014,1312.0,0.3,-0.2,-7.9,False
"Asturias, Principado de",2014,1426.0,-0.4,-0.5,-5.7,False
"Balears, Illes",2014,1962.0,0.9,1.7,-0.8,False
Canarias,2014,1298.0,0.6,1.8,-0.8,False
Canarias,2014,1572.0,-0.6,-1.1,-3.7,False
Castilla y Leon,2014,1188.0,-0.3,-0.6,-6.2,False
Castilla - La Mancha,2014,907.0,-0.1,0.0,-5.7,False
Cataluña,2014,1825.0,0.3,1.5,-2.0,False
Ceuta,2014,2044.0,-0.5,0.5,-1.5,False
Comunitat Valenciana,2014,1201.0,0.4,0.5,-2.3,False
Pais Vasco,2014,2608.0,-0.3,-0.3,-5.1,False
Extremadura,2014,958.0,-0.3,-0.8,-4.5,False
Galicia,2014,1429.0,-0.2,-0.1,-5.6,False
"Rioja, La",2014,1145.0,-0.6,-1.1,-5.0,False
"Madrid, Comunidad de",2014,2167.0,-0.3,0.6,-2.8,False
Melilla,2014,1742.0,0.1,0.7,-2.2,False
"Murcia, Region de",2014,1049.0,0.1,-0.3,-4.7,False
"Navarra, Comunidad Foral de",2014,1413.0,-1.4,-0.4,-6.9,False
Andalucia,2009,1715.0,-0.9,-1.6,-4.2,False
Aragon,2009,1753.0,-1.1,0.5,-1.9,False
"Asturias, Principado de",2009,1746.0,-0.8,0.7,-4.1,False
"Balears, Illes",2009,2299.0,-0.8,-3.0,-1.9,False
Canarias,2009,1681.0,0.8,-0.1,-1.2,False
Canarias,2009,1890.0,0.1,-1.2,-1.6,False
Castilla y Leon,2009,1366.0,-0.5,-0.1,-1.2,False
Castilla - La Mancha,2009,1267.0,0.8,0.9,-3.0,False
Cataluña,2009,2278.0,-0.3,-0.1,-2.7,False
Comunitat Valenciana,2009,1579.0,-0.8,-2.3,-6.5,False
Pais Vasco,2009,3065.0,1.2,4.0,1.4,False
