Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;PERIODO;VALOR
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2025M01;2,93
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2024M12;2,75
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2024M11;2,80
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2024M10;3,15
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2024M09;3,30
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2024M08;3,53
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2024M07;3,47
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2024M06;3,21
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2024M05;3,04
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2024M04;2,89
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2024M03;2,90
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2024M02;2,84
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2024M01;2,91
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2023M12;2,72
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2023M11;2,80
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2023M10;3,12
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2023M09;3,27
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2023M08;3,52
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2023M07;3,40
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2023M06;3,14
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2023M05;3,04
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2023M04;2,85
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2023M03;2,80
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2023M02;2,82
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2023M01;2,88
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2022M12;2,75
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2022M11;2,81
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2022M10;3,07
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2022M09;3,26
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2022M08;3,58
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2022M07;3,43
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2022M06;3,19
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2022M05;3,00
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Estancia media;2022M04;2,90
