Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;PERIODO;VALOR
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2025M01;47,98
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2024M12;49,03
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2024M11;53,66
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2024M10;61,99
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2024M09;66,86
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2024M08;76,03
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2024M07;70,53
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2024M06;65,51
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2024M05;61,70
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2024M04;56,98
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2024M03;55,12
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2024M02;53,06
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2024M01;47,41
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2023M12;49,68
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2023M11;52,42
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2023M10;60,52
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2023M09;65,99
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2023M08;74,61
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2023M07;69,86
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2023M06;63,19
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2023M05;57,23
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2023M04;59,53
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2023M03;51,62
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2023M02;51,42
Tipo de dato;Dato base;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Grado de ocupación por plazas;2023M01;45,66
