periodo,estancia_media,grado_ocupacion,indice_precios,pernoctaciones,tarifa_media
2025-01-01,2.93,47.98,141.89,16910798,112.8
2024-12-01,2.75,49.03,144.82,18033188,117.42
2024-11-01,2.8,53.66,142.73,20055197,113.71
2024-10-01,3.15,61.99,147.07,33942709,115.94
2024-09-01,3.3,66.86,153.17,39040928,125.22
2024-08-01,3.53,76.03,162.61,47895779,146.86
2024-07-01,3.47,70.53,162.33,44038012,140.52
2024-06-01,3.21,65.51,164.47,38226012,122.12
2024-05-01,3.04,61.7,183.24,35744250,111.65
2024-04-01,2.89,56.98,129.33,27142842,110.17
2024-03-01,2.9,55.12,136.74,24533888,109.18
2024-02-01,2.84,53.06,131.18,18547585,106.74
2024-01-01,2.91,47.41,133.72,16491597,104.88
2023-12-01,2.72,49.68,137.06,17913857,108.76
2023-11-01,2.8,52.42,132.92,19023828,104.91
2023-10-01,3.12,60.52,139.72,32415687,110.32
2023-09-01,3.27,65.99,143.1,37980229,116.57
2023-08-01,3.52,74.61,152.88,46695607,136.82
2023-07-01,3.4,69.86,151.45,43109417,130.06
2023-06-01,3.14,63.19,152.55,36255025,113.0
2023-05-01,3.04,57.23,169.49,32187667,102.28
2023-04-01,2.85,59.53,124.39,28046754,104.67
2023-03-01,2.8,51.62,124.34,20597741,99.54
2023-02-01,2.82,51.42,121.76,16816547,99.76
2023-01-01,2.88,45.66,124.21,15472477,95.68
2022-12-01,2.75,47.31,125.84,16627833,99.56
2022-11-01,2.81,49.96,122.05,17661676,95.48
2022-10-01,3.07,57.83,127.79,29865924,99.66
2022-09-01,3.26,63.91,132.37,35999861,108.06
2022-08-01,3.58,75.09,144.0,46140100,127.91
2022-07-01,3.43,69.31,142.04,42121775,121.17
2022-06-01,3.19,62.57,140.75,35111326,105.48
2022-05-01,3.0,54.65,155.32,29785395,95.15
2022-04-01,2.9,55.72,113.84,25197638,96.4
2022-03-01,2.91,46.49,112.32,17632648,89.52
2022-02-01,2.65,44.42,109.67,13623546,88.17
2022-01-01,2.81,33.36,112.09,10598385,85.67
2021-12-01,2.71,40.08,116.64,13220155,91.53
2021-11-01,2.77,45.33,112.08,14930647,88.19
2021-10-01,2.94,52.71,114.41,23935219,89.91
2021-09-01,3.11,52.08,116.72,25679512,94.06
2021-08-01,3.31,65.08,127.14,34460041,114.6
2021-07-01,3.08,52.38,122.08,26351353,103.32
2021-06-01,2.51,37.45,116.72,14259621,85.7
2021-05-01,2.16,28.81,127.15,7342738,76.5
2021-04-01,2.12,21.15,88.06,4142415,70.66
2021-03-01,2.03,19.37,91.55,3588559,66.04
2021-02-01,2.07,16.54,88.4,2436961,60.5
2021-01-01,2.19,14.53,95.25,2459473,62.21
2020-12-01,2.29,17.78,96.65,3245991,72.24
2020-11-01,2.43,15.73,90.08,2874269,64.01
2020-10-01,2.13,20.86,94.97,5128825,64.34
2020-09-01,2.34,26.61,100.55,8219094,73.18
2020-08-01,2.86,44.0,112.04,16927211,97.04
2020-07-01,2.66,35.64,112.49,11731245,89.1
2020-06-01,1.98,18.77,107.32,1870057,58.91
2020-05-01,2.75,12.31,,271149,
2020-04-01,0.0,0.0,110.01,0,0.0
2020-03-01,3.15,29.25,99.31,8372820,78.19
2020-02-01,2.73,50.72,103.94,17614206,83.62
2020-01-01,2.86,46.07,106.46,15968171,82.15
2019-12-01,2.72,47.5,109.74,16966744,86.13
2019-11-01,2.74,50.74,108.76,18339394,83.63
2019-10-01,3.11,58.34,111.71,30363238,85.77
2019-09-01,3.4,67.09,116.63,37572668,94.23
2019-08-01,3.61,76.86,123.21,47059511,109.28
2019-07-01,3.56,71.13,121.74,43199530,103.14
2019-06-01,3.27,65.74,120.97,37163185,93.11
2019-05-01,3.04,57.55,112.28,31905788,83.5
2019-04-01,2.93,58.26,110.01,26808982,83.73
2019-03-01,2.86,52.85,102.82,21520914,81.34
2019-02-01,2.76,49.66,103.03,16589486,84.2
2019-01-01,2.95,45.05,105.41,15506154,81.37
2018-12-01,2.74,47.19,106.92,16655848,82.81
2018-11-01,2.82,51.39,107.19,18261076,82.03
2018-10-01,3.22,59.98,110.0,31132356,83.84
2018-09-01,3.43,67.91,112.49,37768667,90.23
2018-08-01,3.7,76.11,120.6,46306240,107.07
2018-07-01,3.65,70.84,120.03,42717096,101.1
2018-06-01,3.33,64.73,116.8,36168465,88.87
2018-05-01,3.18,58.23,109.3,31921157,80.75
2018-04-01,2.97,56.1,106.01,25207350,80.58
2018-03-01,2.91,53.53,103.57,21918931,81.74
2018-02-01,2.84,50.4,102.12,16527859,84.01
2018-01-01,3.0,45.75,104.11,15395882,80.1
2017-12-01,2.79,46.93,106.29,16211799,82.13
2017-11-01,2.89,50.44,104.49,17537436,79.43
2017-10-01,3.27,60.61,108.22,30898617,81.87
2017-09-01,3.47,69.06,111.94,37961599,89.59
2017-08-01,3.78,77.18,119.77,46657187,105.41
2017-07-01,3.66,72.8,118.1,43624461,98.04
2017-06-01,3.44,66.33,114.78,36646402,87.29
2017-05-01,3.19,58.14,107.8,31439920,79.7
2017-04-01,2.99,61.15,106.54,27549426,80.79
2017-03-01,2.96,51.78,98.62,20508641,77.67
2017-02-01,2.87,49.98,98.85,16346534,80.09
2017-01-01,3.05,45.23,100.87,15200690,78.24
2016-12-01,2.89,46.44,101.82,16013165,79.73
2016-11-01,2.96,49.7,100.14,17134705,76.57
2016-10-01,3.3,60.79,102.39,30587997,77.71
2016-09-01,3.55,68.42,105.26,37218422,84.12
2016-08-01,3.82,77.77,112.25,46502956,99.6
2016-07-01,3.7,72.66,110.24,42948946,92.81
2016-06-01,3.38,63.17,105.28,34430872,79.9
2016-05-01,3.18,57.25,100.43,30401275,73.91
2016-04-01,2.98,53.17,97.2,23056973,73.03
2016-03-01,3.05,53.87,95.54,22022933,75.02
2016-02-01,2.95,49.02,95.12,16379849,77.33
2016-01-01,3.09,43.36,94.49,14470851,73.03
2015-12-01,2.83,44.5,97.31,15043365,75.64
2015-11-01,2.88,46.92,95.54,15862738,75.16
2015-10-01,3.23,57.01,97.68,28073790,74.85
2015-09-01,3.58,65.36,99.53,34918861,79.99
2015-08-01,3.81,76.33,105.06,44813404,95.3
2015-07-01,3.75,68.79,102.45,39850064,87.68
2015-06-01,3.38,60.07,99.78,32092513,76.05
2015-05-01,3.09,53.84,95.31,28041622,71.49
2015-04-01,3.01,53.15,94.09,23087381,71.07
2015-03-01,3.03,48.21,91.39,18596568,74.02
2015-02-01,2.94,45.59,88.71,14513335,70.95
2015-01-01,3.14,40.51,91.59,13342087,71.66
2014-12-01,2.81,41.6,92.41,14041916,72.52
2014-11-01,2.94,44.69,91.29,15113125,70.43
2014-10-01,3.29,54.3,92.13,26243441,69.6
2014-09-01,3.62,63.51,95.33,33858937,75.78
2014-08-01,3.83,73.76,100.03,42991384,88.89
2014-07-01,3.81,65.63,96.66,37641540,81.31
2014-06-01,3.49,59.16,94.23,31567799,70.93
2014-05-01,3.13,51.37,91.58,26691702,67.3
2014-04-01,3.05,51.79,91.46,22298622,69.01
2014-03-01,3.14,46.35,86.77,18129451,68.3
2014-02-01,2.98,43.49,87.55,13875208,71.99
2014-01-01,3.25,38.43,89.6,12807505,69.82
2013-12-01,2.92,40.02,91.71,13595795,70.75
2013-11-01,2.95,44.4,90.37,15087587,69.56
2013-10-01,3.35,52.19,90.05,25015770,67.92
2013-09-01,3.67,61.65,93.11,32647844,72.2
2013-08-01,3.91,71.94,97.19,41900828,85.17
2013-07-01,3.91,65.35,96.0,37670863,79.01
2013-06-01,3.53,58.06,93.26,30808604,69.27
2013-05-01,3.25,51.12,89.85,26359256,64.96
2013-04-01,3.05,45.44,88.07,19135958,66.01
2013-03-01,3.05,46.69,87.85,18815829,68.12
2013-02-01,3.01,41.16,87.25,13104722,69.83
2013-01-01,3.22,35.79,89.31,11887105,67.94
2012-12-01,2.86,36.57,91.63,12398564,70.0
2012-11-01,2.9,40.76,90.89,13854509,69.77
2012-10-01,3.29,50.22,90.28,23909187,67.61
2012-09-01,3.66,60.73,91.84,32045387,70.69
2012-08-01,3.96,70.24,96.63,40581091,84.05
2012-07-01,3.89,65.31,95.3,37395658,77.85
2012-06-01,3.52,57.6,93.34,30243838,68.24
2012-05-01,3.19,48.38,90.91,24628932,64.52
2012-04-01,3.02,49.65,92.01,21445224,68.04
2012-03-01,3.01,44.29,88.24,17393498,66.82
2012-02-01,2.97,41.83,88.57,14163457,68.78
2012-01-01,3.12,37.32,90.24,12600203,67.57
2011-12-01,2.84,38.12,93.18,13044798,69.12
2011-11-01,2.99,42.35,92.73,14674921,68.54
2011-10-01,3.23,51.9,91.63,24764256,66.89
2011-09-01,3.6,61.55,92.55,32099863,70.19
2011-08-01,3.93,72.63,96.15,41694917,81.75
